species,final_w,w_kg,sum,pro
AMERICAN PLAICE,4007232880,4007232.88,526082288.2,0.007617122
COD(ATLANTIC),1.02904E+11,102904467.2,526082288.2,0.195605269
HADDOCK,88733248595,88733248.6,526082288.2,0.168668002
HALIBUT(ATLANTIC),63488380625,63488380.63,526082288.2,0.120681464
HERRING(ATLANTIC),13595188176,13595188.18,526082288.2,0.025842323
NORTHERN SAND LANCE,7573775284,7573775.284,526082288.2,0.01439656
REDFISH UNSEPARATED,18984930643,18984930.64,526082288.2,0.036087378
SILVER HAKE,76488169241,76488169.24,526082288.2,0.145392025
SPINY DOGFISH,8293418861,8293418.861,526082288.2,0.01576449
"TURBOT,GREENLAND HALIBUT",1483954964,1483954.964,526082288.2,0.002820766
WHITE HAKE,27730347212,27730347.21,526082288.2,0.052711045
WITCH FLOUNDER,73947125454,73947125.45,526082288.2,0.140561899
YELLOWTAIL FLOUNDER,38852049003,38852049,526082288.2,0.073851658