sjob.COMM,year,Total Biomass.mt,SSB.mt,Total Biomass.g,SSB.g
YELLOWTAIL FLOUNDER,2000,87900,119000,87900000000,1.19E+11
YELLOWTAIL FLOUNDER,2001,94500,135000,94500000000,1.35E+11
YELLOWTAIL FLOUNDER,2002,97400,68800,97400000000,68800000000
YELLOWTAIL FLOUNDER,2003,103000,168000,1.03E+11,1.68E+11
YELLOWTAIL FLOUNDER,2004,105000,152000,1.05E+11,1.52E+11
YELLOWTAIL FLOUNDER,2005,107000,179000,1.07E+11,1.79E+11
YELLOWTAIL FLOUNDER,2006,108000,210000,1.08E+11,2.1E+11
YELLOWTAIL FLOUNDER,2007,120000,204000,1.2E+11,2.04E+11
YELLOWTAIL FLOUNDER,2008,126000,242000,1.26E+11,2.42E+11
YELLOWTAIL FLOUNDER,2009,120000,120000,1.2E+11,1.2E+11
YELLOWTAIL FLOUNDER,2010,NA,211000,NA,2.11E+11
AMERICAN PLAICE,2000,NA,17000,NA,17000000000
AMERICAN PLAICE,2001,NA,15500,NA,15500000000
AMERICAN PLAICE,2002,NA,19900,NA,19900000000
AMERICAN PLAICE,2003,NA,22000,NA,22000000000
AMERICAN PLAICE,2004,NA,25500,NA,25500000000
AMERICAN PLAICE,2005,NA,23000,NA,23000000000
AMERICAN PLAICE,2006,NA,26000,NA,26000000000
AMERICAN PLAICE,2007,NA,22300,NA,22300000000
AMERICAN PLAICE,2008,NA,16700,NA,16700000000
AMERICAN PLAICE,2009,NA,15800,NA,15800000000
AMERICAN PLAICE,2010,NA,NA,NA,NA
COD(ATLANTIC),2000,NA,6700,NA,6700000000
COD(ATLANTIC),2001,NA,10200,NA,10200000000
COD(ATLANTIC),2002,NA,4720,NA,4720000000
COD(ATLANTIC),2003,NA,NA,NA,NA
COD(ATLANTIC),2004,NA,NA,NA,NA
COD(ATLANTIC),2005,NA,NA,NA,NA
COD(ATLANTIC),2006,NA,NA,NA,NA
COD(ATLANTIC),2007,NA,NA,NA,NA
COD(ATLANTIC),2008,NA,NA,NA,NA
COD(ATLANTIC),2009,NA,NA,NA,NA
COD(ATLANTIC),2010,NA,NA,NA,NA
SILVER HAKE,2000,71300,NA,71300000000,NA
SILVER HAKE,2001,74400,NA,74400000000,NA
SILVER HAKE,2002,48800,NA,48800000000,NA
SILVER HAKE,2003,57300,NA,57300000000,NA
SILVER HAKE,2004,71900,NA,71900000000,NA
SILVER HAKE,2005,50300,NA,50300000000,NA
SILVER HAKE,2006,59900,NA,59900000000,NA
SILVER HAKE,2007,56600,NA,56600000000,NA
SILVER HAKE,2008,65400,NA,65400000000,NA
SILVER HAKE,2009,99300,NA,99300000000,NA
SILVER HAKE,2010,111000,NA,1.11E+11,NA
HERRING(ATLANTIC),2000,164000,463000,1.64E+11,4.63E+11
HERRING(ATLANTIC),2001,168000,461000,1.68E+11,4.61E+11
HERRING(ATLANTIC),2002,166000,543000,1.66E+11,5.43E+11
HERRING(ATLANTIC),2003,154000,506000,1.54E+11,5.06E+11
HERRING(ATLANTIC),2004,116000,482000,1.16E+11,4.82E+11
HERRING(ATLANTIC),2005,96300,233000,96300000000,2.33E+11
HERRING(ATLANTIC),2006,91700,287000,91700000000,2.87E+11
HERRING(ATLANTIC),2007,NA,384000,NA,3.84E+11
HERRING(ATLANTIC),2008,NA,221000,NA,2.21E+11
HERRING(ATLANTIC),2009,NA,377000,NA,3.77E+11
HERRING(ATLANTIC),2010,NA,252000,NA,2.52E+11
REDFISH UNSEPARATED,2000,118000,54000,1.18E+11,54000000000
REDFISH UNSEPARATED,2001,64000,14000,64000000000,14000000000
REDFISH UNSEPARATED,2002,107000,14000,1.07E+11,14000000000
REDFISH UNSEPARATED,2003,50000,8000,50000000000,8000000000
REDFISH UNSEPARATED,2004,157000,12000,1.57E+11,12000000000
REDFISH UNSEPARATED,2005,302000,28000,3.02E+11,28000000000
REDFISH UNSEPARATED,2006,485000,22000,4.85E+11,22000000000
REDFISH UNSEPARATED,2007,386000,48000,3.86E+11,48000000000
REDFISH UNSEPARATED,2008,308000,39000,3.08E+11,39000000000
REDFISH UNSEPARATED,2009,286000,72000,2.86E+11,72000000000
REDFISH UNSEPARATED,2010,164000,33000,1.64E+11,33000000000
SPINY DOGFISH,2000,NA,111000,NA,1.11E+11
SPINY DOGFISH,2001,NA,90200,NA,90200000000
SPINY DOGFISH,2002,NA,61000,NA,61000000000
SPINY DOGFISH,2003,NA,45400,NA,45400000000
SPINY DOGFISH,2004,NA,31300,NA,31300000000
SPINY DOGFISH,2005,NA,11200,NA,11200000000
SPINY DOGFISH,2006,NA,5120,NA,5120000000
SPINY DOGFISH,2007,NA,4510,NA,4510000000
SPINY DOGFISH,2008,NA,3900,NA,3900000000
SPINY DOGFISH,2009,NA,3370,NA,3370000000
SPINY DOGFISH,2010,NA,2850,NA,2850000000
WHITE HAKE,2000,NA,NA,NA,NA
WHITE HAKE,2001,NA,NA,NA,NA
WHITE HAKE,2002,NA,NA,NA,NA
WHITE HAKE,2003,NA,NA,NA,NA
WHITE HAKE,2004,NA,NA,NA,NA
WHITE HAKE,2005,NA,NA,NA,NA
WHITE HAKE,2006,NA,NA,NA,NA
WHITE HAKE,2007,NA,NA,NA,NA
WHITE HAKE,2008,NA,NA,NA,NA
WHITE HAKE,2009,NA,NA,NA,NA
WHITE HAKE,2010,NA,NA,NA,NA
WITCH FLOUNDER,2000,NA,8130,NA,8130000000
WITCH FLOUNDER,2001,NA,7870,NA,7870000000
WITCH FLOUNDER,2002,NA,7620,NA,7620000000
WITCH FLOUNDER,2003,NA,7310,NA,7310000000
WITCH FLOUNDER,2004,NA,7060,NA,7060000000
WITCH FLOUNDER,2005,NA,7060,NA,7060000000
WITCH FLOUNDER,2006,NA,6570,NA,6570000000
WITCH FLOUNDER,2007,NA,5720,NA,5720000000
WITCH FLOUNDER,2008,NA,5670,NA,5670000000
WITCH FLOUNDER,2009,NA,5310,NA,5310000000
WITCH FLOUNDER,2010,NA,5430,NA,5430000000
"TURBOT,GREENLAND HALIBUT",2000,26700,19700,26700000000,19700000000
"TURBOT,GREENLAND HALIBUT",2001,26900,19800,26900000000,19800000000
"TURBOT,GREENLAND HALIBUT",2002,28300,19300,28300000000,19300000000
"TURBOT,GREENLAND HALIBUT",2003,27100,19300,27100000000,19300000000
"TURBOT,GREENLAND HALIBUT",2004,31400,23900,31400000000,23900000000
"TURBOT,GREENLAND HALIBUT",2005,32100,23900,32100000000,23900000000
"TURBOT,GREENLAND HALIBUT",2006,32700,23000,32700000000,23000000000
"TURBOT,GREENLAND HALIBUT",2007,37000,22800,37000000000,22800000000
"TURBOT,GREENLAND HALIBUT",2008,33600,17500,33600000000,17500000000
"TURBOT,GREENLAND HALIBUT",2009,32800,20800,32800000000,20800000000
"TURBOT,GREENLAND HALIBUT",2010,31900,15800,31900000000,15800000000
HADDOCK,2000,60200,21900,60200000000,21900000000
HADDOCK,2001,85400,20600,85400000000,20600000000
HADDOCK,2002,65800,23800,65800000000,23800000000
HADDOCK,2003,67900,26400,67900000000,26400000000
HADDOCK,2004,40300,27200,40300000000,27200000000
HADDOCK,2005,43500,25600,43500000000,25600000000
HADDOCK,2006,46600,23500,46600000000,23500000000
HADDOCK,2007,54800,38100,54800000000,38100000000
HADDOCK,2008,43300,37900,43300000000,37900000000
HADDOCK,2009,60800,38100,60800000000,38100000000
HADDOCK,2010,45500,42700,45500000000,42700000000
NORTHERN SAND LANCE,2000,NA,NA,NA,NA
NORTHERN SAND LANCE,2001,NA,NA,NA,NA
NORTHERN SAND LANCE,2002,NA,NA,NA,NA
NORTHERN SAND LANCE,2003,NA,NA,NA,NA
NORTHERN SAND LANCE,2004,NA,NA,NA,NA
NORTHERN SAND LANCE,2005,NA,NA,NA,NA
NORTHERN SAND LANCE,2006,NA,NA,NA,NA
NORTHERN SAND LANCE,2007,NA,NA,NA,NA
NORTHERN SAND LANCE,2008,NA,NA,NA,NA
NORTHERN SAND LANCE,2009,NA,NA,NA,NA
NORTHERN SAND LANCE,2010,NA,NA,NA,NA