species,stockid,areaid
HADDOCK,HAD3LNO,multinational-NAFO-3LNO
,HAD4X5Y,Canada-DFO-4X5Y
REDFISH UNSEPARATED,REDFISHSPP3LN,multinational-NAFO-3LN
,REDFISHSPP3M,multinational-NAFO-3M
,REDFISHSPP3Pn4RSTVn,Canada-DFO-3Pn4RSTVn
HERRING(ATLANTIC),HERR4VWX,Canada-DFO-4VWX
SILVER HAKE,SHAKE4VWX,Canada-DFO-4VWX
COD(ATLANTIC),COD4VsW,Canada-DFO-4VsW
,COD4TVn,Canada-DFO-4T
NORTHERN SAND LANCE,NA,NA
HALIBUT(ATLANTIC),ATHAL3NOPs4VWX5Zc,Canada-DFO-3NOPs4VWX5Zc
SPINY DOGFISH,SDOG4VWX5,Canada-DFO-4VWX5
YELLOWTAIL FLOUNDER,YELL3LNO,multinational-NAFO-3LNO
AMERICAN PLAICE,AMPL4VWX,Canada-DFO-4VWX
WHITE HAKE,WHAKE4VWX5,Canada-DFO-4VWX5
WITCH FLOUNDER,WITFLOUN3Ps,Canada-DFO-3Ps
,WITFLOUN4RST,Canada-DFO-4RST
"TURBOT,GREENLAND HALIBUT",GHAL4RST,Canada-DFO-4RST