species,w_inf ,w_mat,w_min,f0, beta,sigma,k_vb
HADDOCK,3220.889544,805.222386,0.001,0.6,100,1.3,0.2629333
REDFISH UNSEPARATED,3833.470217,958.3675544,0.001,0.6,100,1.3,0.13733333
HERRING(ATLANTIC),282.7901464,70.69753661,0.001,0.6,100,1.3,0.3549758
SILVER HAKE,1859.306549,464.8266372,0.001,0.6,100,1.3,0.421375
COD(ATLANTIC),17573.85428,4393.46357,0.001,0.6,100,1.3,0.1853738
NORTHERN SAND LANCE,47.71573707,11.92893427,0.001,0.6,100,1.3,0.35
HALIBUT(ATLANTIC),85574.8983,21393.72457,0.001,0.6,100,1.3,0.0803375
SPINY DOGFISH,4499.162893,1124.790723,0.001,0.6,100,1.3,0.1145
YELLOWTAIL FLOUNDER,683.0020313,170.7505078,0.001,0.6,100,1.3,0.335
AMERICAN PLAICE,1683.782457,420.9456142,0.001,0.6,100,1.3,0.1196154
WHITE HAKE,18066.17807,4516.544517,0.001,0.6,100,1.3,0.162
WITCH FLOUNDER,1261.934324,315.483581,0.001,0.6,100,1.3,0.2173125
SWORDFISH,341969.0531,85492.26328,0.001,0.6,100,1.3,0.1605
"TURBOT,GREENLAND HALIBUT",4071.223783,1017.805946,0.001,0.6,100,1.3,0.0776